Name,Date,PnL,Review Number,Tags,Trade Record,Winrate,收获
,,,,,No,,
Bear Channel +TR,2023年2月27日,,4,"Bear Trend, Globex Hour, TR",Yes,33,盘前trend的重要节点能帮助判断开始bar的走势。AOI依然有用！结合日线看图！
"Gap down, TR  between two AOI",2023年8月1日,,1,"AOI, TR",No,100,盘前要罗列出几个AOI，形成magnet指引价格移动！
Bull Trend Day,2022年3月17日,,2,Bull Trend,No,,每次都要分析双方的道理，写出来。因为一些micro的setup可能会被另一方macro的setup所override。
Bear spike + Bear Channel,2021年9月13日,,5,Bear Trend,Yes,86,如果感兴趣的区域在昨天已经被测试过2次（这里是开盘和midday去测试），可能今天就不会再去了
Ledge and The importance of CORE,2021年8月23日,,3,"Bull Core 21, Bull Trend, Ledge",Yes,75,了解到CORE test的重要性! 甚至可以用前一天的CORE test来决定下一天的走势！ 盘前有AOI magnet，盘中也会形成新的magnet
,,,,,No,,
previous TR range guide your way if lacking context from yesterday,2023年5月8日,,6,"TR, TR day after Trend day",Yes,50,如果昨天是big trend或者gap down/up的话，那么前几天的黄色TR区域对今日的价格引导作用很明显。如果confused，就默认是TR，那么就能及时take profit；tight trend需要复杂的结构至少DB/DT才能reversal，所以better second entry
template,,,6,,No,,
"Stop loss, TP, entry  v.s S&R",2023年1月3日,,6,,Yes,60,
template,,,6,,No,,
template,2023年1月3日,,6,,No,,
